model,dataset,batch_size,original_top1,quantized_top1,original_top5,quantized_top5,bits,mlp_scaler,cnn_scaler,mlp_percentile,cnn_percentile,stochastic,regularizer,lambda,orginal_sparsity,quantized_sparsity,retain_rate,fusion,see,similarity,num_classes,subset_class_names,max_kl_dist,avg_kl_dist
resnet20,CIFAR100,256,0.723,0.729,0.938,0.935,4,1.16,1.16,1,1,False,,0.1,0.0,0.2341,0.25,False,0,0,10,"['apple', 'kangaroo', 'keyboard', 'sea', 'oak_tree', 'orange', 'poppy', 'pickup_truck', 'plate', 'wardrobe']",192.25317582671377,68.796192030917
resnet20,CIFAR100,256,0.719,0.704,0.939,0.931,4,1.16,1.16,1,1,False,,0.1,0.0,0.2343,0.25,False,0,1,10,"['house', 'rocket', 'bridge', 'skyscraper', 'bus', 'streetcar', 'castle', 'tank', 'tractor', 'train']",7.993174372913189,1.75020299108425
resnet20,CIFAR100,256,0.768,0.776,0.962,0.963,4,1.16,1.16,1,1,False,,0.1,0.0,0.236,0.25,False,0,0,10,"['apple', 'keyboard', 'maple_tree', 'mountain', 'oak_tree', 'orange', 'chair', 'poppy', 'pickup_truck', 'wardrobe']",192.25317582671377,67.84352454410924
resnet20,CIFAR100,256,0.571,0.585,0.863,0.867,4,1.16,1.16,1,1,False,,0.1,0.0,0.237,0.25,False,0,1,10,"['willow_tree', 'forest', 'road', 'crocodile', 'seal', 'skunk', 'maple_tree', 'otter', 'palm_tree', 'pine_tree']",7.107001226641158,1.9507734809110828
resnet20,CIFAR100,256,0.734,0.726,0.93,0.92,4,1.16,1.16,1,1,False,,0.1,0.0,0.2376,0.25,False,0,0,10,"['apple', 'keyboard', 'sea', 'squirrel', 'mountain', 'oak_tree', 'orange', 'pickup_truck', 'plate', 'wardrobe']",192.25317582671377,68.32545157456408
resnet20,CIFAR100,256,0.565,0.56,0.837,0.819,4,1.16,1.16,1,1,False,,0.1,0.0,0.234,0.25,False,0,1,10,"['beetle', 'lizard', 'lobster', 'snake', 'spider', 'snail', 'mushroom', 'crab', 'trout', 'dinosaur']",0.8390733956106174,0.34585241673325967
resnet20,CIFAR100,256,0.756,0.741,0.949,0.949,4,1.16,1.16,1,1,False,,0.1,0.0,0.2351,0.25,False,0,0,10,"['apple', 'keyboard', 'mountain', 'oak_tree', 'orange', 'television', 'poppy', 'pickup_truck', 'plate', 'wardrobe']",192.25317582671377,70.45986461284845
resnet20,CIFAR100,256,0.71,0.712,0.948,0.942,4,1.16,1.16,1,1,False,,0.1,0.0,0.232,0.25,False,0,1,10,"['willow_tree', 'forest', 'road', 'sea', 'mountain', 'oak_tree', 'cloud', 'palm_tree', 'pine_tree', 'plain']",6.134205435884685,2.2982349564769766
resnet20,CIFAR100,256,0.707,0.71,0.928,0.931,4,1.16,1.16,1,1,False,,0.1,0.0,0.235,0.25,False,0,0,10,"['apple', 'keyboard', 'sea', 'oak_tree', 'orange', 'otter', 'poppy', 'pickup_truck', 'plate', 'wardrobe']",192.25317582671377,67.44878930189005
resnet20,CIFAR100,256,0.486,0.485,0.754,0.75,4,1.16,1.16,1,1,False,,0.1,0.0,0.2377,0.25,False,0,1,10,"['possum', 'rabbit', 'raccoon', 'beaver', 'kangaroo', 'shrew', 'camel', 'squirrel', 'mouse', 'porcupine']",1.4233814839308776,0.5284303713018493
