model,dataset,batch_size,original_top1,subset_top1,all_top1,original_top5,subset_top5,all_top5,bits,mlp_scalar,cnn_scalar,mlp_percentile,cnn_percentile,stochastic,regularizer,lambda,original_sparsity,subset_sparsity,all_sparsity,retain_rate,fusion,seed,similar,num_classes,subset_names,max_kl_dist,avg_kl_dist
resnet20,CIFAR100,256,0.599,0.593,0.577,0.888,0.883,0.884,4,1.16,1.16,1,1,False,,0.1,0.0,0.2305,0.2338,0.25,False,0,[1],10,"['porcupine', 'crab', 'girl', 'tulip', 'can', 'streetcar', 'bear', 'palm_tree', 'poppy', 'tank']",70.36849319691129,16.08049687961789
resnet20,CIFAR100,256,0.636,0.623,0.616,0.87,0.868,0.863,4,1.16,1.16,1,1,False,,0.1,0.0,0.2373,0.2349,0.25,False,0,[1],10,"['woman', 'kangaroo', 'tractor', 'rocket', 'cloud', 'bear', 'keyboard', 'streetcar', 'chimpanzee', 'cockroach']",60.61150323952877,15.13533149610607
resnet20,CIFAR100,256,0.592,0.57,0.566,0.839,0.835,0.84,4,1.16,1.16,1,1,False,,0.1,0.0,0.2366,0.2325,0.25,False,0,[1],10,"['telephone', 'crocodile', 'bear', 'plate', 'tulip', 'chimpanzee', 'clock', 'worm', 'can', 'tractor']",73.28709274905513,21.17417435442778
mobilenetv2_x0_5,CIFAR100,256,0.603,0.604,0.603,0.873,0.873,0.872,4,1.16,1.16,1,1,False,,0.1,0.0,0.2099,0.209,0.25,False,0,[1],10,"['woman', 'couch', 'flatfish', 'possum', 'lobster', 'pickup_truck', 'orchid', 'plate', 'telephone', 'bridge']",96.85653793579137,18.26250534870049
mobilenetv2_x0_5,CIFAR100,256,0.626,0.627,0.625,0.857,0.853,0.856,4,1.16,1.16,1,1,False,,0.1,0.0,0.2086,0.2088,0.25,False,0,[1],10,"['pear', 'castle', 'bear', 'cockroach', 'beaver', 'rabbit', 'crab', 'bicycle', 'cup', 'camel']",42.19317906021145,8.591464362148079
mobilenetv2_x0_5,CIFAR100,256,0.613,0.614,0.613,0.873,0.873,0.873,4,1.16,1.16,1,1,False,,0.1,0.0,0.2095,0.2095,0.25,False,0,[1],10,"['spider', 'boy', 'skyscraper', 'baby', 'turtle', 'oak_tree', 'orange', 'seal', 'streetcar', 'raccoon']",144.66645613860416,23.054440993343416
mobilenetv2_x0_5,CIFAR100,256,0.678,0.676,0.675,0.929,0.929,0.928,4,1.16,1.16,1,1,False,,0.1,0.0,0.2096,0.2098,0.25,False,0,[1],10,"['whale', 'forest', 'woman', 'girl', 'lion', 'streetcar', 'train', 'beetle', 'keyboard', 'lawn_mower']",49.37475519980769,12.368293765934872
mobilenetv2_x0_5,CIFAR100,256,0.607,0.609,0.607,0.862,0.863,0.861,4,1.16,1.16,1,1,False,,0.1,0.0,0.2096,0.2116,0.25,False,0,[1],10,"['poppy', 'bear', 'house', 'plain', 'chimpanzee', 'elephant', 'seal', 'sunflower', 'willow_tree', 'worm']",59.43273675364,15.435568872078186
mobilenetv2_x0_5,CIFAR100,256,0.679,0.683,0.678,0.888,0.889,0.889,4,1.16,1.16,1,1,False,,0.1,0.0,0.2101,0.2108,0.25,False,0,[1],10,"['lawn_mower', 'hamster', 'pickup_truck', 'otter', 'snail', 'mushroom', 'caterpillar', 'pine_tree', 'bowl', 'cockroach']",42.94614716532075,11.575478124418705
mobilenetv2_x0_5,CIFAR100,256,0.731,0.728,0.731,0.914,0.912,0.914,4,1.16,1.16,1,1,False,,0.1,0.0,0.209,0.2105,0.25,False,0,[1],10,"['apple', 'wardrobe', 'cloud', 'rocket', 'table', 'lawn_mower', 'rabbit', 'camel', 'bee', 'poppy']",143.64208177354513,29.050141627833995
mobilenetv2_x0_5,CIFAR100,256,0.638,0.637,0.639,0.871,0.869,0.87,4,1.16,1.16,1,1,False,,0.1,0.0,0.2103,0.2093,0.25,False,0,[1],10,"['snake', 'porcupine', 'palm_tree', 'rose', 'orange', 'bowl', 'lamp', 'possum', 'couch', 'tractor']",111.91122562431313,18.532672478412017
mobilenetv2_x0_5,CIFAR100,256,0.746,0.745,0.745,0.921,0.921,0.922,4,1.16,1.16,1,1,False,,0.1,0.0,0.2095,0.21,0.25,False,0,[1],10,"['bicycle', 'cloud', 'bed', 'palm_tree', 'motorcycle', 'snail', 'fox', 'table', 'leopard', 'mountain']",30.026996820316114,11.402692857836362
mobilenetv2_x0_5,CIFAR100,256,0.734,0.731,0.734,0.921,0.92,0.922,4,1.16,1.16,1,1,False,,0.1,0.0,0.209,0.2098,0.25,False,0,[1],10,"['fox', 'apple', 'palm_tree', 'orange', 'snake', 'chair', 'trout', 'poppy', 'sweet_pepper', 'kangaroo']",117.641527425731,23.94030374809983
mobilenetv2_x0_5,CIFAR100,256,0.679,0.677,0.677,0.901,0.902,0.902,4,1.16,1.16,1,1,False,,0.1,0.0,0.21,0.2093,0.25,False,0,[1],10,"['bed', 'orchid', 'crocodile', 'rabbit', 'rocket', 'pine_tree', 'rose', 'pear', 'train', 'chair']",63.390176222249394,17.126600095807483
mobilenetv2_x0_5,CIFAR100,256,0.666,0.666,0.663,0.873,0.875,0.871,4,1.16,1.16,1,1,False,,0.1,0.0,0.2084,0.2102,0.25,False,0,[1],10,"['trout', 'pickup_truck', 'maple_tree', 'raccoon', 'skunk', 'rocket', 'bottle', 'ray', 'caterpillar', 'camel']",35.6234918387004,10.22321279560241
mobilenetv2_x0_5,CIFAR100,256,0.685,0.68,0.683,0.907,0.905,0.908,4,1.16,1.16,1,1,False,,0.1,0.0,0.2092,0.2103,0.25,False,0,[1],10,"['worm', 'rocket', 'shark', 'orchid', 'dolphin', 'road', 'castle', 'plate', 'crocodile', 'lion']",108.09524313570456,25.126999167414123
mobilenetv2_x0_5,CIFAR100,256,0.675,0.672,0.674,0.887,0.889,0.888,4,1.16,1.16,1,1,False,,0.1,0.0,0.2104,0.211,0.25,False,0,[1],10,"['motorcycle', 'mouse', 'lamp', 'can', 'worm', 'cup', 'pear', 'pickup_truck', 'tractor', 'snake']",63.470379338818006,11.553831843638916
mobilenetv2_x0_5,CIFAR100,256,0.644,0.646,0.645,0.886,0.888,0.887,4,1.16,1.16,1,1,False,,0.1,0.0,0.2086,0.2093,0.25,False,0,[1],10,"['maple_tree', 'elephant', 'streetcar', 'worm', 'pear', 'clock', 'trout', 'can', 'lamp', 'crocodile']",35.93794479526355,11.869277704959861
